SRR12567135	SRR12567136	SRR12567137	SRR12567138	SRR12567139	SRR12567140	SRR12567141	SRR12567142	SRR12567143	SRR12567144	SRR12567145	SRR12567146	SRR12567147	SRR12567148	SRR12567149	SRR12567150	SRR12567151	SRR12567152	SRR12567153	SRR12567154	SRR12567155	SRR12567156	SRR12567157	SRR12567158	SRR12567159	SRR12567160	SRR12567161	SRR12567162	SRR12567163	SRR12567164	SRR12567165	SRR12567166	SRR12567167	SRR12567168	SRR12567169	SRR12567170	SRR12567171	SRR12567172	SRR12567173	SRR12567174	SRR12567175	SRR12567176	SRR12567177	SRR12567178	SRR12567179	SRR12567180	SRR12567181	SRR12567182	SRR12567183	SRR12567184	SRR12567185	SRR12567186	SRR12567187	SRR12567188	SRR12567189	SRR12567190	SRR12567191	SRR12567192	SRR12567193	SRR12567194	SRR12567195	SRR12567196	SRR12567197	SRR12567198	SRR12567199	SRR12567200	SRR12567201	SRR12567202	SRR12567203	SRR12567204	SRR12567205	SRR12567206	SRR12567207	SRR12567208	SRR12567209	SRR12567210	SRR12567211	SRR12567212	SRR12567213	SRR12567214	SRR12567215	SRR12567216	SRR12567217	SRR12567218	SRR12567219	SRR12567220	SRR12567221	SRR12567222	SRR12567223	SRR12567224	SRR12567225	SRR12567226	SRR12567227	SRR12567228	SRR12567229	SRR12567230	SRR12567231	SRR12567232	SRR12567233	SRR12567234	SRR12567235	SRR12567236	SRR12567237	SRR12567238	SRR12567239	SRR12567240	SRR12567241	SRR12567242	SRR12567243	SRR12567244	SRR12567245	SRR12567246	SRR12567247	SRR12567248	SRR12567249	SRR12567250	SRR12567251	SRR12567252	SRR12567253	SRR12567254	SRR12567255	SRR12567256	SRR12567257	SRR12567258	SRR12567259	SRR12567260	SRR12567261	SRR12567262	SRR12567263	SRR12567264	SRR12567265	SRR12567266	SRR12567267	SRR12567268	SRR12567269	SRR12567270	SRR12567271	SRR12567272	SRR12567273	SRR12567274	SRR12567275	SRR12567276	SRR12567277	SRR12567278	SRR12567279	SRR12567280	SRR12567281	SRR12567282	SRR12567283	SRR12567284	SRR12567285	SRR12567286	SRR12567287	SRR12567288	SRR12567289	SRR12567290	SRR12567291	SRR12567292	SRR12567293	SRR12567294	SRR12567295	SRR12567296	SRR12567297	SRR12567298	SRR12567299	SRR12567300	SRR12567301
asv11	0	0	22919	0	0	53	392	117	0	1907	989	0	0	168	369	51	324	0	0	0	0	0	3836	0	603	0	0	106810	62	0	325	375	0	0	0	3307	247	0	0	8	0	0	467	84913	6449	0	453	7791	282	0	16507	3653	0	4460	147	1792	509	93	358	9614	2355	0	0	0	0	0	0	11063	1983	0	0	202	17722	9172	911	2606	143	0	16522	51	2912	0	5621	0	2491	0	0	335	0	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7193	0	0	0	2031	0	2746	0	0	0	0	0	6644	0	300	0	58	0
asv12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	3	0	0	9268	0	0	0	0	0	0	0	0	33	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	31	0	51	0	0	0	0	5	0	0	71173	0	10551	0	0	7613	305	0	0	0	671	2614	774	1362	0	266	0	0	0	1579	5117	5298	0	0	0	0	908	1195	0	0	0	0	16	784	0	2233	907	0	0	5682	0	64841	32849	0	0	40	10	127507	178	326	0	0	3571	1635	413	2582	3230	2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
asv13	0	0	0	0	0	365	0	17	134	0	0	0	0	0	18	8800	0	0	51629	0	75	52	0	7581	0	0	0	0	0	0	0	0	0	50	1511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	45	0	15201	0	0	0	0	0	0	607	0	0	0	0	0	0	6	0	0	0	0	8546	0	0	0	0	0	0	0	0	44	0	0	0	0	639	86	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	360	13020	0	0	0	670	0	0	0	0	0	0	109600	0	0	32	0	0	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	4774	0	0	46	72	0	0	0	0	0	39	0	26134	95861	0	0	0	21	0	0	39	45
asv14	18	0	0	0	0	0	0	214403	0	105263	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	4	0	0	4405	8	46	0	0	0	0	47	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	104	0	0	0	0	55	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	64	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	358	0	563	0	0	0	0	0	0	0	0	60	0	39	0	0	0	0	0	0
asv15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51538	157371	0	558	0	0	0	0	0	0	0	2002	5451	0	0	198	0	0	5264	0	0	2173	0	1587	0	1683	10630	0	625	6308	590	0	753	3237	0	1334	0	1089	0	34003	0	6965	0	9210	16091	0	0	0	3256	0	0	0	76	299	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv16	0	0	0	0	1719	0	267	1	0	318	35	0	263	161	25	14972	0	0	0	0	0	15	360	16	549	0	0	0	0	20913	0	27	172	0	0	31	63	0	211572	0	68	166	893	76	37	292	61	50	844	678	0	20	0	86	31	279	48	133	48	0	72	140	453	0	0	20696	0	69	0	45	29	0	889	290	0	0	0	61	85	61	0	0	88	24	217	0	82	4750	1382	13434	75	0	0	62	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3051	0	449	195	314	0	465	42	0	80	0	0	966	68	0	0	19	82
asv17	0	90	4355	743	77	0	8687	2417	0	0	2534	17	1573	2156	689	26	1058	1887	688	0	0	20441	0	18	12536	1324	35	4850	457	22	0	5352	2403	12	0	122	0	0	100	2956	75	1645	4227	11783	0	308	325	2609	15903	1855	0	200	1475	5180	401	0	2198	2351	21852	1143	0	0	481	0	0	0	6719	7932	4307	1796	0	37	2444	197	152	593	0	0	0	0	1199	26815	0	0	0	0	20079	18254	1691	863	0	0	0	0	0	0	10	0	4116	12	12	10	16	27	21	10	0	20	0	0	26	0	25	0	11	26	24	13	0	0	1713	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	23	14	0	0	0	0	3	0	0	0	0	1310	119	0	0	3105	1084	1398	7455	0	0	0	16	6499	17974	2726	0
asv18	0	3096	0	0	0	0	705	0	0	110	0	0	15558	4696	339	0	0	0	0	0	0	0	0	0	0	0	1323	0	0	0	95	846	2915	0	0	0	0	0	0	2078	3818	138	0	0	0	685	12423	11272	0	55688	0	5990	1193	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58645	0	5262	0	0	0	0	0	0	0	59	106	0	2919	1070	54785	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	35284	8480	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv19	0	44	7879	0	13	0	385	0	0	0	717	0	347	232	179	0	1507	618	22	0	0	46	277	22	0	0	61	0	547	0	0	0	3860	50	0	2492	35716	17	0	0	336	99	3957	24948	414	4437	161	2057	0	1772	5844	307	1269	379	31	3209	3548	412	15300	0	84	0	63603	0	0	0	0	7136	11	0	219	0	6820	1122	0	4	0	6987	1283	0	0	22	210	102	195	268	265	2653	1173	222	16	0	0	0	0	28	33	13	627	16	16	11	17	24	18	18	0	26	20	0	18	20	21	19	9	27	26	26	10	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	34	8	0	0	12	0	0	0	0	913	0	1555	203	1204	0	2893	15	2014	0	0	0	134	27	27	58341	198	361
asv20	7258	0	0	0	0	446	552	11894	1414	126	0	733	0	24	0	0	0	1339	4754	623	1479	512	34694	9	326	2254	7	0	0	0	4581	161	0	394	17	2049	0	107	359	7503	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	56	8610	357	1364	0	2913	7045	593	29538	9	258	13283	0	597	242	0	0	15	0	24	24	71	0	0	0	0	0	0	0	0	0	0	0	0	0	31537	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	791	13	0	0	24	10	12	31	22	0	0	21701	0	0	0	0	0	0	93	20704	0	0	643	0	0	0	4497	807	1726	1979	20403	10	1269	2044	4774	498
