SRR12533881	SRR12533882	SRR12533883	SRR12533884	SRR12533885	SRR12533886	SRR12533887	SRR12533888	SRR12533889	SRR12533890	SRR12533891	SRR12533892	SRR12533893	SRR12533894	SRR12533895	SRR12533896	SRR12533897	SRR12533898	SRR12533899	SRR12533900	SRR12533901	SRR12533902	SRR12533903	SRR12533904	SRR12533905	SRR12533906	SRR12533907	SRR12533908	SRR12533909	SRR12533910	SRR12533911	SRR12533912	SRR12533913	SRR12533914	SRR12533915	SRR12533916	SRR12533917	SRR12533918	SRR12533919	SRR12533920	SRR12533921	SRR12533922	SRR12533923	SRR12533924	SRR12533925	SRR12533926	SRR12533927	SRR12533928	SRR12533929	SRR12533930	SRR12533931	SRR12533932	SRR12533933	SRR12533934	SRR12533935	SRR12533936	SRR12533937	SRR12533938	SRR12533939	SRR12533940	SRR12533941	SRR12533942	SRR12533943	SRR12533944	SRR12533945	SRR12533946	SRR12533947	SRR12533948	SRR12533949	SRR12533950	SRR12533951	SRR12533952	SRR12533953	SRR12533954	SRR12533955	SRR12533956	SRR12533957	SRR12533958	SRR12533959	SRR12533960	SRR12533961	SRR12533962	SRR12533963	SRR12533964	SRR12533965	SRR12533966	SRR12533967	SRR12533968	SRR12533969	SRR12533970	SRR12533971	SRR12533972	SRR12533973	SRR12533974	SRR12533975	SRR12533976	SRR12533977	SRR12533978	SRR12533979	SRR12533980	SRR12533981	SRR12533982	SRR12533983	SRR12533984	SRR12533985	SRR12533986	SRR12533987	SRR12533988	SRR12533989	SRR12533990	SRR12533991	SRR12533992	SRR12533993	SRR12533994	SRR12533995	SRR12533996	SRR12533997	SRR12533998	SRR12533999	SRR12534000	SRR12534001	SRR12534002	SRR12534003	SRR12534004	SRR12534005	SRR12534006	SRR12534007	SRR12534008	SRR12534009	SRR12534010	SRR12534011	SRR12534012	SRR12534013	SRR12534014	SRR12534015	SRR12534016	SRR12534017	SRR12534018	SRR12534019	SRR12534020
asv11	0	0	19	18	0	0	1456	0	0	50	0	0	0	13	1427	0	0	56	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	67	0	0	0	0	0	15	0	43	0	0	0	0	0	0	15	100098	0	0	0	0	0	0	0	0	0	30	0	65	0	14307	36	15	81419	19	26	202	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	20286	79	0	70	0	83	0	0	0	0	0	0	0	0	86	38	76	0	0	0	103529	36	0	35	0	0	0	0	0	0	0	8	0	0	0	0	0	23	0	6	8	177	93563	1155	28	30	0	0	0
asv12	1609	21995	6619	0	0	0	0	2720	26117	204	5586	0	15554	0	50	577	0	0	0	76	19	28089	1768	0	230	530	2510	0	0	0	0	69	0	0	0	26239	0	0	0	1260	0	3252	0	0	4087	0	850	0	0	208	13338	0	1732	923	0	0	0	676	34889	1660	0	3723	6452	0	0	137	0	23524	0	0	65	940	1037	5832	0	0	2432	295	0	0	138	4980	17307	0	34082	0	2161	0	473	0	2547	0	9670	0	0	0	68	0	65	0	248	0	0	0	0	2855	0	0	0	245	89	0	0	0	0	17230	0	0	0	0	274	7937	10	0	0	106	1279	3312	0	10342	0	5630	0	0	0	0	0	481	0	0
asv13	7049	0	749	27	39	249	70	55	4846	0	608	0	1903	907	530	3553	4034	2443	8342	0	5342	16273	7541	868	871	465	42	12046	0	0	567	2642	3	2733	815	5	0	349	979	1568	43	0	190	471	1123	0	7829	2171	130	0	3944	0	132	0	0	18	5842	2860	0	4792	20	98176	1950	6	4978	9896	1439	0	1043	0	1357	518	2034	55	0	0	2823	3232	6515	5	1824	875	6218	334	234	3179	19695	64	1870	4890	1000	29	7095	12	0	2242	776	2549	0	150	1988	2593	0	3081	831	0	9	0	11	0	0	0	1556	8914	787	2012	0	0	0	2945	0	812	0	0	0	0	84	17189	0	1620	8	2499	6554	0	0	479	0	1309	219	0
asv14	1246	1948	1205	0	806	362	86	1360	5626	111	1382	25	524	314	10493	1471	1419	11856	0	867	857	3056	2055	225	992	0	2270	12355	44	56	1038	2947	798	543	1020	1979	251	251	2585	1641	3321	0	2328	513	542	0	11760	7248	105	890	6325	6626	4013	5229	0	259	414	213	247	42	25733	12411	8504	0	5396	1433	171	11920	362	290	2114	3117	7861	3006	59	1911	113	7228	1770	373	2378	1360	2534	723	10964	0	10242	262	3031	857	25132	60	8758	10279	33	1229	679	1386	7387	1286	1351	639	394	1806	1355	1380	59	70	0	0	0	109	384	905	821	2912	310	7777	188	696	0	3660	0	0	0	1910	80	4382	0	5975	10176	125	1300	23	0	141	184	1180	874	0
asv15	861	407	7902	0	0	0	88	0	7956	3166	7870	0	235	0	124	203	0	13799	22809	244	104	0	838	0	0	645	1433	0	131	0	619	3375	2954	127	0	0	0	88	661	535	0	2921	0	0	0	0	1945	6955	0	0	2952	0	1170	0	0	23004	0	0	0	1867	0	2999	0	0	5793	0	3173	0	15	78	266	5855	7688	739	0	0	883	1790	0	0	840	0	87391	409	866	45267	0	406	16177	2243	11897	37	435	0	0	7116	28	0	0	0	47	2479	0	0	87	1941	0	0	0	0	0	0	0	3460	505	1711	0	0	0	35	0	0	0	9082	0	71	232	1728	15	0	323	2717	0	0	32	1703	2360	292	0	0
asv16	1817	5660	10104	103	1808	1107	53	2225	533	615	5237	20	516	7989	1428	143	9218	480	4359	85	655	2155	665	296	0	1013	573	2474	179	19	1422	990	21397	1927	22927	100	117	1265	501	792	275	5768	624	0	1533	0	4129	710	1283	37	2624	0	213	13	979	3979	5235	764	1097	3374	7694	1782	309	331	309	836	16049	432	284	58	615	1930	3951	1003	0	3485	994	2154	368	1110	849	488	6196	244	12948	867	12211	3909	1568	12689	893	112	620	0	5991	5745	388	193	779	1416	2141	2278	24250	801	1810	441	2296	30	0	614	0	298	1701	78	447	9224	4026	0	2162	2550	112	1835	0	2002	56	128	68	2789	7257	2183	850	531	7114	12	48	397	386	861	357	0
asv17	0	0	0	1756	138	880	0	53	8235	5153	226	0	459	440	4274	0	0	0	0	0	183	74	2699	1311	541	446	908	0	65	0	1321	149	0	537	8099	0	0	560	93	1069	2066	2073	3515	0	5233	0	18732	0	0	0	13707	0	0	0	438	0	0	4	0	0	0	0	48	0	0	1762	7328	0	0	0	3167	11	0	0	0	70497	0	11128	4357	0	164	0	0	0	38009	0	197	5398	34	0	46	0	2735	0	10042	19	735	3920	58	0	147	24	0	2388	0	4375	0	46	0	0	0	0	1181	1861	0	139	0	68051	0	0	796	53	0	0	0	73	0	7742	0	0	0	255	0	44	0	0	147	328	0	3434
asv18	173	306	0	1639	1678	642	13	320	2367	159	795	0	569	0	1107	525	7059	1646	2669	0	2727	1747	6523	102	177	426	0	1714	205	0	247	398	0	1512	9804	0	372	0	1794	424	0	10466	22	597	738	0	5975	14447	591	0	4774	60834	0	1587	0	655	7445	230	2509	358	0	0	636	0	2143	871	313	10840	351	735	772	1292	1716	1338	0	170	453	5441	1176	560	8510	607	5811	1049	2291	7113	6790	593	2586	498	1120	0	625	7336	0	2025	432	6776	1879	603	4906	2383	2805	744	1852	2621	594	0	0	2457	0	0	713	369	4721	8189	3913	0	384	2409	242	0	0	3501	540	856	10258	6136	0	3390	0	1527	6038	0	0	134	0	457	321	0
asv19	63	13	0	246	16494	13	0	7502	10	379	27	0	1225	0	60	13460	779	50	1454	0	68	364	2949	0	127	135	0	0	3425	0	0	23	0	7367	216	104	16	2591	195	0	295	51	929	1764	204	3650	83	888	0	0	178	277	21	67	0	0	0	97	0	1875	14223	0	0	17	152	4	230	14	12854	10	0	1472	0	3070	0	124	80	0	10217	58	0	0	167	1261	16	0	256	0	90	721	0	0	33	0	0	401	36	265	22	128	2448	3715	0	2817	123	425	16048	6	0	0	0	0	0	6914	0	0	3179	0	1262	632	0	2754	0	0	1187	0	0	741	60439	7970	56791	10	202	9	0	229	22957	14	2842	0
asv20	183	2331	0	0	1902	4542	220	19690	792	0	2317	0	10142	1046	209	0	1070	0	19525	0	3814	0	80	0	415	154	0	39033	1184	55	3080	0	0	0	5974	0	71	3514	0	0	107	0	0	0	2636	0	262	0	72	0	1963	0	0	0	359	20067	11	0	0	461	0	685	0	1947	2705	50	13150	2406	206	780	0	0	0	3216	0	0	0	4393	707	1445	14211	1205	0	0	14776	14416	15690	1123	190	841	201	0	4116	0	0	4865	196	0	2551	0	530	556	5051	1140	373	99	380	0	0	0	0	0	149	6305	0	0	0	0	2146	13250	0	356	0	0	0	0	0	6175	0	12594	0	1023	0	0	0	66	0	2020	0	0
