SRR12533881	SRR12533882	SRR12533883	SRR12533884	SRR12533885	SRR12533886	SRR12533887	SRR12533888	SRR12533889	SRR12533890	SRR12533891	SRR12533892	SRR12533893	SRR12533894	SRR12533895	SRR12533896	SRR12533897	SRR12533898	SRR12533899	SRR12533900	SRR12533901	SRR12533902	SRR12533903	SRR12533904	SRR12533905	SRR12533906	SRR12533907	SRR12533908	SRR12533909	SRR12533910	SRR12533911	SRR12533912	SRR12533913	SRR12533914	SRR12533915	SRR12533916	SRR12533917	SRR12533918	SRR12533919	SRR12533920	SRR12533921	SRR12533922	SRR12533923	SRR12533924	SRR12533925	SRR12533926	SRR12533927	SRR12533928	SRR12533929	SRR12533930	SRR12533931	SRR12533932	SRR12533933	SRR12533934	SRR12533935	SRR12533936	SRR12533937	SRR12533938	SRR12533939	SRR12533940	SRR12533941	SRR12533942	SRR12533943	SRR12533944	SRR12533945	SRR12533946	SRR12533947	SRR12533948	SRR12533949	SRR12533950	SRR12533951	SRR12533952	SRR12533953	SRR12533954	SRR12533955	SRR12533956	SRR12533957	SRR12533958	SRR12533959	SRR12533960	SRR12533961	SRR12533962	SRR12533963	SRR12533964	SRR12533965	SRR12533966	SRR12533967	SRR12533968	SRR12533969	SRR12533970	SRR12533971	SRR12533972	SRR12533973	SRR12533974	SRR12533975	SRR12533976	SRR12533977	SRR12533978	SRR12533979	SRR12533980	SRR12533981	SRR12533982	SRR12533983	SRR12533984	SRR12533985	SRR12533986	SRR12533987	SRR12533988	SRR12533989	SRR12533990	SRR12533991	SRR12533992	SRR12533993	SRR12533994	SRR12533995	SRR12533996	SRR12533997	SRR12533998	SRR12533999	SRR12534000	SRR12534001	SRR12534002	SRR12534003	SRR12534004	SRR12534005	SRR12534006	SRR12534007	SRR12534008	SRR12534009	SRR12534010	SRR12534011	SRR12534012	SRR12534013	SRR12534014	SRR12534015	SRR12534016	SRR12534017	SRR12534018	SRR12534019	SRR12534020
asv172	833	100	0	0	0	0	32	0	1366	0	0	0	0	68	0	170	37	0	0	0	104	311	0	81	0	0	18	353	0	0	439	0	0	232	0	0	7640	0	63	0	535	0	0	0	75	0	1876	226	0	0	66	0	0	0	0	0	930	389	0	127	0	0	71	0	0	51	0	0	0	0	53	0	0	0	0	0	44	0	722	0	0	12	101	0	0	0	0	0	0	121	137	0	447	0	0	0	66	778	0	0	80	0	0	76	41	0	0	0	0	0	0	0	325	0	61	0	0	0	0	94	0	0	0	0	0	0	0	826	0	0	0	0	93	0	0	209	0	0	27	0
asv173	0	554	280	0	0	0	0	0	0	0	0	0	0	0	92	0	136	0	0	0	271	446	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3629	0	0	566	0	54	0	1023	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	0	0	0	0	3135	0	0	0	0	1270	0	1283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4870	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	1370	0	0	0	0	0	0
asv174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3908	0	0	0	0	0	0	453	0	0	56	0	0	0	0	0	1	0	0	0	654	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	19	0	0	47	0	0	0	0	11	0	0	0	56	0	3277	0	0	10784	0	0	194	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	513	0	0	0	0	0	0	0	0
asv175	51	14	7	24	0	507	5	0	17	12	0	5	79	440	8	0	19	44	145	90	135	4	894	24	164	2	0	0	43	87	186	0	179	10	503	0	10	44	0	701	151	496	208	303	22	352	98	10	106	0	0	240	0	13	609	0	82	99	51	0	97	14	0	38	24	0	0	0	0	17	498	19	0	11	0	4	0	231	0	73	18	5	505	0	171	58	1797	0	864	4	10	0	439	40	3	6	35	0	16	241	9	5	0	8	60	0	0	0	0	88	390	0	5	4	327	326	0	12	3	0	6	4	0	0	312	293	26	0	166	15	7	0	4	0	5	128	10	0	11	5370
asv176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	1481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6778	0	0	0	0	34	0	18	0	0	0	4073	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1930	0	0	0	0	3614	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv177	0	0	0	0	0	0	113	0	0	549	0	0	0	0	0	1915	0	0	0	0	0	0	0	0	0	0	0	0	0	47	804	0	0	0	0	1172	0	0	3995	0	118	0	112	0	105	0	392	0	520	0	0	107	0	0	0	0	7	0	0	0	0	3037	0	0	0	0	0	0	0	0	986	0	0	224	0	1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	161	0	0	165	0	321	0	0	0	0	0	0	0	0	96	0	0	127	0	0	0	0	0	488	0	0	586	0	0	0	0	464	0	27	0	0	0	0	0	0	1532	0
asv178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv179	0	0	23	0	2835	0	0	239	0	153	25	0	0	0	3863	691	0	2694	0	0	0	0	1046	232	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	16	0	646	0	0	0	0	0	0	0	368	0	0	67	683	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	19	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	971	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2370	0	169	0	0	0	0	0	0	0	689	0	0	785	93	0	0
asv180	0	0	0	0	2766	0	426	3643	0	0	0	0	0	0	261	11	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	297	0	50	0	338	0	38	0	2	0	710	0	0	0	5845	299	0	0	0	0	0	0	0	0	0	834	0	66	4	771	0	13	361	61	0	0	432	0	0	512	37	64	157	0	0	0	0	38	0	0	0	0	0	0	0	0	0	124	0	0	0	348	0	117	43	0	0	0	0	0	0	0	54	32	36	67	0	0	0	0	32	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	28	0	254	0	0	0	0	0	0	0	0	0	0
asv181	19	0	0	0	4919	0	0	303	0	0	0	0	0	1092	506	0	95	0	0	0	0	29	177	435	4	4122	0	0	0	0	0	0	0	104	0	0	0	41	0	0	0	0	0	472	746	0	0	103	0	0	923	615	0	0	0	0	0	0	0	130	0	0	0	0	0	0	1537	13	34	0	0	9	0	0	0	0	0	0	0	0	0	0	101	15	1144	0	0	0	0	45	0	0	0	0	0	0	119	0	11	0	0	591	0	61	16	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	7	0	0	0	0	0	0	0	0	0	0	157	0	0	18	43	178	15	0
asv182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18618	0	0	0	0	0	0	0	0	0	0	0
asv183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16196	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv184	180	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	1370	0	0	0	0	0	0	0	0	0	0	0	0	1138	0	219	247	921	0	0	0	1544	143	0	0	0	76	0	443	0	0	0	1545	0	0	0	0	0	0	42	65	278	371	0	0	0	0	200	0	0	0	0	0	0	247	0	2124	0	0	231	92	0	0	0	145	0	643	3874	0	0	0	0	0	0	64	0	0	178	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	308	0	0	0	0	0	152	0	0	0	0	0	0	0	103	95	0	0	214	0	0	0	0	0	0	236	579
asv185	0	0	2473	51	0	0	0	0	0	0	0	0	156	66	0	168	0	0	81	0	158	0	0	57	0	21	53	0	0	0	61	47	0	0	0	0	131	0	0	0	1668	960	80	0	0	1978	60	0	0	0	0	0	0	0	0	200	50	98	0	0	0	0	0	0	0	0	114	0	0	1357	429	0	37	119	471	0	0	2376	0	284	0	367	2187	0	429	0	0	57	0	0	0	38	0	26	0	93	50	0	0	0	0	68	260	0	92	191	0	0	0	0	0	0	31	0	0	0	115	0	0	62	0	146	0	0	0	0	18	0	0	94	0	0	0	0	0	0	0	0	58	0
asv186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv187	0	0	0	0	168	0	67	0	0	0	32	1036	0	0	0	321	35	0	0	0	79	0	0	106	0	0	97	0	0	0	0	0	0	55	0	0	254	0	591	0	0	99	0	0	10	0	0	18	0	0	0	44	0	0	0	0	103	0	0	0	62	999	21	0	0	47	0	0	0	960	0	29	0	75	0	0	0	458	0	0	1874	102	456	380	0	0	0	85	0	348	0	22	56	0	203	273	0	801	2209	0	0	96	0	14	0	47	117	0	0	0	0	84	0	465	0	0	2297	0	233	0	0	408	0	23	0	0	0	0	102	534	0	9	561	0	0	0	0	0	0	0
asv188	0	0	13	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	2410	0	0	0	0	0	371	0	23	0	1015	51	0	0	0	0	14	64	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2650	46	0	221	0	0	0	0	0	440	64	45	0	0	0	0	0	42	467	0	0	0	0	0	1420	0	46	2348	0	0	0	0	0	0	80	49	0	0	0	0	0	0	0	0	73	0	0	0	940	0	0	41	0	0	0	21	0	0	75	0	50	0	0	0	0	0	2915	246	336	0	147	0	0	0	0	0	76	0	0
asv189	0	302	0	0	353	0	0	0	38	0	0	157	0	0	0	871	0	159	0	0	177	318	0	32	249	0	142	54	0	0	606	0	0	0	2267	0	86	48	104	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	0	0	1573	44	6	475	0	62	1277	41	40	0	0	0	0	0	96	0	0	0	0	118	0	0	103	74	284	39	447	0	304	0	0	39	0	142	0	0	0	128	0	248	158	0	221	0	0	3095	0	0	0	0	312	0	0	0	0	60	0	312	0	0	0	0	0	184	0	0	0	0	0	0	0	0	441	0	0	0
asv190	0	0	54	0	985	0	0	314	0	27	0	272	90	0	0	122	296	0	75	152	25	0	0	378	0	0	0	0	0	0	0	0	0	0	0	68	0	0	1671	0	0	674	74	0	98	0	0	0	0	0	17	0	0	0	0	81	0	0	0	0	0	124	0	0	0	0	288	571	0	177	0	0	569	57	47	301	0	333	0	214	107	0	0	122	0	0	0	0	0	0	0	0	0	0	146	57	47	0	573	0	0	0	196	33	0	50	149	0	0	2	0	61	0	0	0	0	1043	55	0	0	0	5834	0	211	0	0	0	59	0	5	0	0	366	0	0	0	15	0	0	0
asv191	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16886	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0
asv192	32	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	621	28	0	0	402	0	0	4757	6	584	0	0	6862	0	0	0	0	110	0	0	0	0	0	0	0	0	0	1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1321	0	7	0	0	8	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	478	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	598	0	0
asv193	0	0	0	198	0	132	0	0	411	22	0	0	0	0	29	36	268	0	0	0	76	42	0	0	35	31	0	0	0	0	0	41	0	174	0	0	0	0	322	0	0	1028	0	0	264	0	27	0	0	0	351	0	0	0	0	201	0	0	76	0	0	2679	35	0	0	0	1180	0	59	0	0	51	83	0	0	764	0	414	21	0	0	0	0	147	0	0	3610	62	0	0	28	0	0	0	21	339	0	0	1109	0	560	142	0	24	67	26	0	0	0	0	0	0	0	134	0	532	0	0	121	0	24	0	0	0	0	0	641	157	0	0	0	165	0	0	0	0	24	0	35	0
asv194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	0	19	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	830	0	0	0	1318	4970	0	0	0	0	0	0	0	0	478	664	0	0	0	0	524	0	763	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	112	0	0	0	0	0	0	23	0	34	0	0	0	1038	4	0	0	0	0	666	0	0	0	713	0	0	0	0	0	0	0	759	0	491	0	0	1980	0	0	0	0	0	0	0
asv195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9534	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	618	0	0	32	0	0	0	0	0	0	0	0	1043	0	0	0	0	0	6	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	2607	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	1324	0	0	0	0	0	0	0
asv196	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	409	0	0	0	160	0	1773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	1196	0	0	0	0	0	0	0	0	0	0	62	0	0	303	0	2248	0	0	0	0	767	0	0	0	39	0	0	0	0	0	0	0	0	0	0	672	0	349	0	0	0	5963	0	0	0	0	0	0	0	0	0	0	1657	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv197	0	0	0	0	467	0	0	0	0	18	0	0	0	95	28	0	0	0	0	0	0	495	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558	0	650	0	0	272	0	0	0	884	245	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	140	0	0	1472	0	0	0	0	0	0	0	136	0	0	473	0	0	156	0	135	0	0	0	0	0	0	0	2925	0	0	0	0	0	0	758	0	0	0	0	0	0	0	0	0	0	0	5038	0	0	0	31	0	0
asv198	0	0	0	3	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	25	0	0	0	0	0	0	0	0	0	144	258	0	7	19	7	0	1471	0	282	145	12	1121	93	357	5474	420	0	428	10	6	11	1387	77	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	4154	4	0	0	0	0	0	0	0	0	0	0	0	18	0	13	0	0	0	0	0	0	0	0	0
asv199	0	373	0	0	0	43	0	0	0	0	0	0	0	0	0	600	0	0	406	0	0	0	728	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	79	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615	0	0	0	0	0	0	0	0	0	0
asv200	29	0	96	0	5	256	0	3	0	40	0	0	0	38	10	0	3	13	76	98	22	0	3567	17	114	0	0	0	6	8	24	9	41	0	240	0	4	25	0	166	101	128	321	60	10	1135	21	6	30	135	4	68	0	0	0	0	29	24	36	695	18	14	0	18	42	0	0	0	41	92	154	81	0	7	7	34	0	181	0	187	35	0	1327	149	1126	345	151	0	238	0	3	3	3574	79	0	0	0	0	0	69	7	0	0	0	49	0	0	0	0	0	79	0	0	0	23	22	0	0	7	10	0	0	0	0	0	41	0	0	57	0	8	0	3	0	8	8	0	0	0	354
asv201	0	0	102	0	145	0	0	48	0	32	0	0	523	39	0	282	0	109	0	0	0	0	0	0	0	57	100	0	0	0	53	63	0	0	0	55	0	0	0	761	0	0	0	0	0	0	277	93	69	0	1180	0	90	0	0	0	469	0	0	0	1188	0	0	151	0	0	847	0	0	800	0	0	0	1184	14	0	0	301	0	0	0	0	0	0	0	0	0	164	0	0	0	28	0	0	534	0	0	0	0	0	42	0	0	333	81	490	154	0	2471	283	0	0	0	516	0	344	117	0	0	0	0	1424	0	0	0	0	0	0	0	0	0	0	134	190	0	0	1	0	0	0
asv202	75	0	0	0	32	0	0	16	11	0	110	0	0	0	217	62	346	739	0	0	0	0	0	0	0	0	11	0	0	0	0	44	0	0	0	580	23	0	0	1830	0	65	323	0	0	0	387	0	0	0	0	0	74	0	0	0	78	0	0	80	119	1127	268	0	0	51	276	0	0	0	349	189	419	11	3432	240	0	391	0	86	0	0	0	38	388	0	0	363	130	0	384	73	0	0	0	35	0	0	425	0	0	0	0	20	0	71	21	0	0	839	0	0	28	0	0	838	0	0	22	48	0	0	0	0	0	6	48	332	0	18	0	0	0	0	0	0	0	90	0	0
asv203	105	137	53	36	162	0	18	0	205	0	216	0	18	0	0	0	0	0	0	124	298	1324	0	0	0	0	45	0	0	0	0	42	0	4	1690	0	0	0	96	0	0	398	0	689	842	0	112	134	0	0	855	0	0	0	0	0	246	0	249	0	0	1118	0	0	0	71	0	0	67	71	169	148	145	41	0	0	0	1388	0	0	0	0	198	0	113	0	116	0	253	0	0	0	0	0	0	161	56	0	947	29	186	0	0	41	25	385	0	0	0	0	0	0	69	100	0	0	0	0	0	23	43	153	0	0	0	0	0	1331	0	67	0	116	362	0	0	19	33	39	25	0
asv204	229	0	0	194	1472	0	0	89	0	48	0	352	0	0	0	97	2412	0	0	0	0	0	0	215	0	211	0	0	99	0	31	52	0	225	120	83	66	0	1589	0	192	662	0	0	107	1655	0	0	0	0	703	0	0	0	0	28	69	0	0	0	71	160	0	0	0	0	405	129	138	0	0	0	0	0	0	0	254	185	93	0	0	0	313	0	0	0	0	0	95	45	0	0	0	0	0	0	0	0	345	0	0	1009	16	91	0	0	196	0	0	0	0	0	0	0	306	0	249	0	129	0	62	53	0	0	0	0	0	78	0	139	0	0	0	0	0	179	91	0	0	0
asv205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15655	0	0	0	0	0	0	0	0	0
asv206	98	0	94	0	1803	0	33	346	0	14	0	0	0	0	42	178	0	0	0	0	0	0	0	97	35	21	38	0	0	0	6	0	0	32	0	0	0	0	187	0	0	857	0	0	0	0	0	29	0	0	0	0	0	0	0	30	51	71	22	0	3757	0	91	0	0	17	0	0	48	47	0	13	14	122	0	266	0	0	348	0	41	56	0	101	0	0	0	130	0	16	17	7	0	0	116	331	0	654	17	159	0	203	0	24	0	286	211	0	0	0	0	0	0	669	0	0	1421	0	0	37	0	48	0	0	0	0	0	5	491	1234	0	0	463	0	0	20	17	0	0	0
asv207	0	14	265	0	19	0	0	12	4	0	0	51	0	1090	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	33	0	0	0	15	0	0	0	0	0	0	0	0	57	0	0	5	0	0	0	0	29	0	14	0	0	0	0	12	0	0	0	0	0	0	0	106	0	0	21	807	30	0	16	5	70	0	0	0	100	10906	0	66	0	288	0	0	0	518	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	3	0	0	0	49	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0
asv208	0	0	0	0	625	0	0	0	23	0	0	124	0	0	1122	0	224	0	0	0	0	1504	0	238	0	0	0	0	0	0	0	64	0	39	0	104	0	0	4737	0	0	0	0	0	0	0	468	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	3046	234	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1214	0	217	0	430	92	0	0	0	0	0	0	0
asv209	1033	12	0	0	0	0	0	0	60	78	65	0	427	0	0	0	37	78	0	0	98	141	202	100	81	21	0	0	0	0	61	118	0	40	351	55	0	0	475	0	0	0	108	0	75	0	0	105	0	0	294	0	10	5	0	0	1246	0	0	98	0	265	139	0	125	39	43	0	76	0	110	18	168	0	0	30	0	302	223	0	14	35	43	396	143	0	0	64	355	99	10	0	0	0	0	567	0	473	427	234	371	284	0	199	224	46	199	0	0	0	0	0	44	314	1337	0	0	0	0	316	0	78	0	0	0	166	0	677	0	297	0	36	287	0	0	51	0	95	81	0
asv210	0	120	0	0	0	0	0	0	0	426	0	0	0	74	0	0	0	998	0	0	0	0	126	0	0	200	0	0	0	0	0	1302	0	0	93	0	0	0	0	0	26	0	0	0	1364	0	0	0	602	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	647	0	0	0	52	1658	0	0	0	380	0	0	0	0	0	0	0	0	3998	0	0	0	0	22	0	0	0	0	0	0	0	0	0	438	0	0	114	273	0	0	0	765	51	762
asv211	0	0	0	0	4528	0	0	515	0	171	0	0	95	0	0	0	0	0	13	0	0	0	0	0	0	138	0	0	0	0	10	0	0	16	0	0	0	0	0	0	0	3212	0	0	7	0	0	0	0	0	0	0	0	0	0	0	77	44	6	294	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	12	33	0	0	0	0	356	0	908	0	0	0	0	0	3	0	0	22	112	0	0	0	0	12	0	0	279	49	879	258	0	0	0	0	0	0	0	0	0	13	0	0	70	6	1503	0	6	0	0	0	0	0	111	0	0	0	0	0	47	1093	0	0	0
asv212	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	401	0	34	0	0	0	0	0	0	0	736	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	188	39	0	0	0	12	0	0	0	0	0	0	0	0	16	0	40	0	0	0	0	0	0	272	26	0	178	773	0	0	0	6	6	11848	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv213	0	0	0	0	0	59	0	0	0	0	0	0	0	0	1163	0	0	0	636	0	0	56	0	0	0	0	0	0	24	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	1433	0	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	1322	495	0	29	123	0	0	0	0	28	0	0	0	225	0	783	0	0	0	0	0	3933	0	0	0	0	0	0	127	14	0	0	93	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3386	0	0	0	0	0	115	0	0	0	0	20	0
asv214	145	12	132	0	15	0	91	0	66	0	31	0	0	0	0	0	188	0	0	0	139	39	0	84	0	0	44	0	18	0	141	22	0	88	0	0	0	0	35	342	0	0	0	0	200	0	54	559	0	0	596	0	0	0	0	398	1309	0	0	0	14	772	0	0	48	86	78	0	11	0	22	21	28	0	0	0	30	888	11	218	2325	184	0	13	316	0	962	62	0	0	0	0	0	0	0	57	0	253	43	0	567	110	0	36	320	11	337	0	0	0	0	0	17	112	0	158	348	0	0	34	0	0	0	0	164	0	0	6	14	227	0	0	627	0	0	0	57	34	237	0
asv215	42	72	0	0	81	0	0	0	94	0	0	0	0	0	0	346	0	0	0	170	0	0	869	0	0	135	0	0	0	0	0	0	0	0	0	0	464	0	0	0	0	1951	0	328	775	0	0	0	0	0	677	0	0	0	0	0	0	238	0	0	0	0	0	0	41	6	0	0	35	221	0	0	0	0	0	0	0	5918	91	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0	24	125	0	0	30	0	107	0	0	0	0	0	0	0	0	0	0	565	72	0	0	0	0	0	0	0	0	114	93	148	0	0	0	0	0	25	0	0	68	0
asv216	180	114	0	0	0	0	0	36	23	64	15	0	0	0	0	0	231	12	0	0	62	184	0	0	0	265	0	0	0	0	0	0	0	0	7717	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	392	0	0	0	0	0	0	0	0	218	0	31	0	0	0	0	0	89	0	0	47	0	0	0	0	0	310	0	0	0	0	81	0	0	0	0	0	0	0	69	0	0	0	0	0	678	0	0	28	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1042	0	0	0	0	0	0	0	847	0	0	825	0	0	0	0	504	0	0	0	0	103	12	0
